image_id,block_size,num_masks,mask_type,noise_level,MSE,MAE,PSNR,SSIM,LPIPS,L2_norm,Avg_measurement_MSE,mask_prob,method,protein
14,1,1,random_fourier,0.0,0.075230985879898,0.2179775834083557,17.256632133228813,0.2566319950256974,0.1832278072834015,35.10818099975586,2.3166086293713306e-07,0.1,dct,EMPIAR10076_128
15,1,1,random_fourier,0.0,0.0724403411149978,0.214554488658905,17.420794591068518,0.2539956337126433,0.2459736168384552,34.450870513916016,2.478953433637799e-07,0.1,dct,EMPIAR10076_128
0,1,1,fourier_radial,0.0,0.0678229331970214,0.2071562707424163,17.706834096242353,0.3759186583719682,0.1721851974725723,33.33483123779297,1.033673561323667e-05,0.2,dct,EMPIAR10076_128
1,1,1,fourier_radial,0.0,0.0750395208597183,0.2187030613422393,17.267698908648743,0.388645292533965,0.1826815903186798,35.0634765625,1.0687201211112551e-05,0.2,dct,EMPIAR10076_128
2,1,1,fourier_radial,0.0,0.0702725425362587,0.2112742662429809,17.552743342728903,0.3690327482265056,0.181909754872322,33.931480407714844,1.0807309990923386e-05,0.2,dct,EMPIAR10076_128
3,1,1,fourier_radial,0.0,0.0738608390092849,0.2171826362609863,17.336457806920883,0.3775904258924682,0.1751178503036499,34.787010192871094,1.167808750324184e-05,0.2,dct,EMPIAR10076_128
4,1,1,fourier_radial,0.0,0.0717293843626976,0.2139883637428283,17.46362892655198,0.3876279632276159,0.1763060986995697,34.28139877319336,1.1262736734352076e-05,0.2,dct,EMPIAR10076_128
5,1,1,fourier_radial,0.0,0.0625676214694976,0.1991457045078277,18.057103150855166,0.3802864718104395,0.2061877250671386,32.01730728149414,1.0218761417490896e-05,0.2,dct,EMPIAR10076_128
6,1,1,fourier_radial,0.0,0.071450375020504,0.2122778892517089,17.480554698459684,0.373394223783759,0.2279499024152755,34.21466064453125,1.0528997336223256e-05,0.2,dct,EMPIAR10076_128
7,1,1,fourier_radial,0.0,0.0735442712903022,0.2163629233837127,17.35511153831465,0.3793968804764669,0.1682017594575882,34.712379455566406,1.056320616044104e-05,0.2,dct,EMPIAR10076_128
8,1,1,fourier_radial,0.0,0.0673360899090766,0.2067956030368805,17.738121170314123,0.395907786019593,0.1441934704780578,33.21497344970703,1.0461482816026546e-05,0.2,dct,EMPIAR10076_128
9,1,1,fourier_radial,0.0,0.0711214989423751,0.2130783796310424,17.500590854966173,0.3735816901027275,0.2229799777269363,34.135826110839844,1.0431640475871973e-05,0.2,dct,EMPIAR10076_128
10,1,1,fourier_radial,0.0,0.0672865957021713,0.2065009474754333,17.741314293257854,0.3832649810607353,0.1625801622867584,33.20276641845703,1.034235265251482e-05,0.2,dct,EMPIAR10076_128
11,1,1,fourier_radial,0.0,0.0671616345643997,0.2059748470783233,17.74938751245343,0.3689852515423631,0.2211646735668182,33.17192077636719,1.0219888281426392e-05,0.2,dct,EMPIAR10076_128
12,1,1,fourier_radial,0.0,0.0751946568489074,0.2187991440296173,17.258730353531792,0.3816069370436386,0.2155334651470184,35.099700927734375,1.083880943042459e-05,0.2,dct,EMPIAR10076_128
13,1,1,fourier_radial,0.0,0.0665363520383834,0.2056599855422973,17.79000999995636,0.3588301635386758,0.1794250309467315,33.01713943481445,1.0248633770970628e-05,0.2,dct,EMPIAR10076_128
14,1,1,fourier_radial,0.0,0.0680768564343452,0.2072352170944214,17.690604980182904,0.3765473457940704,0.1840303242206573,33.39717483520508,1.032671752909664e-05,0.2,dct,EMPIAR10076_128
15,1,1,fourier_radial,0.0,0.0664201229810714,0.2048028111457824,17.797603284011583,0.3857030354801137,0.1993927359580993,32.98828887939453,1.0474004739080556e-05,0.2,dct,EMPIAR10076_128
0,1,1,fourier_radial,0.0,0.0722761005163192,0.2136407196521759,17.43065280054402,0.3798353544917341,0.2144351452589035,34.41179656982422,7.327461389650125e-06,0.2,dct,EMPIAR10076_128
1,1,1,fourier_radial,0.0,0.0799066424369812,0.2253139615058899,16.994771163847464,0.390538815767962,0.1815337687730789,36.182735443115234,8.458255251753144e-06,0.2,dct,EMPIAR10076_128
2,1,1,fourier_radial,0.0,0.0726888701319694,0.2161616086959839,17.40592106514988,0.3629284923279659,0.1577553898096084,34.509918212890625,8.009936209418811e-06,0.2,dct,EMPIAR10076_128
